,Tube_ID,Genotype,Treatment,gs_pre,gs_end,d13C
1,1,Navara,ww,0.036125,0.2152275,-29.721375
2,10,Capri,ww,0.066251333,0.24017425,-30.770375
3,11,ILB938,ww,0.103809,0.0914435,-28.497375
4,12,Melodie,ww,0.052595,0.0761025,-27.568375
5,13,Melodie,drought,0.060342,0.05778275,-26.805375
6,14,Lynx,drought,0.086720333,0.1234405,-29.358375
7,15,Aurora,drought,0.085220667,0.08607575,-27.283375
8,16,Navara,drought,0.070469,0.080944,-27.244375
9,17,Lynx,ww,0.077821667,0.29070325,-30.117375
10,18,Capri,drought,0.057041,0.07570675,-28.191375
11,19,Capri,drought,0.040121333,0.073385,-27.743375
12,2,Lynx,ww,0.065871333,0.24917125,-31.007375
13,21,Lynx,drought,0.053330333,0.075383,-27.577375
14,22,Melodie,ww,0.048912333,0.1483785,-30.083375
15,23,Navara,drought,0.0571175,0.09481425,-27.968375
16,24,Capri,ww,0.047217333,0.1756045,-29.128375
17,25,Lynx,ww,0.030725,0.203254,-29.643375
18,26,Navara,ww,0.093667,0.1103685,-28.110375
19,27,ILB938,drought,0.076931333,0.04811275,-24.515375
20,28,Navara,drought,0.027478667,0.13717525,-28.897375
21,29,Melodie,drought,0.066818333,0.076525,-26.751375
22,31,Melodie,drought,0.1133795,0.061778,-26.741375
23,32,ILB938,drought,0.080272333,0.045615,-24.698375
24,33,Melodie,ww,0.080757,0.08844325,-27.872375
25,34,Capri,drought,0.087992,0.0552715,-28.183375
26,35,Capri,ww,0.091615667,0.141679,-28.271375
27,36,ILB938,ww,0.104031667,0.10777675,-27.958375
28,37,Navara,ww,0.046158,0.16773,-28.881375
29,38,Lynx,ww,0.054452667,0.17573675,-28.592375
30,39,Lynx,drought,0.033073667,0.08297325,-27.408375
31,4,Aurora,drought,0.049152,0.06170625,-26.835375
32,40,Navara,drought,0.067581667,0.05792625,-26.300375
33,41,Aurora,ww,0.085901333,0.1485025,-28.610375
34,42,Aurora,drought,0.048565333,0.06682,-25.588375
35,43,ILB938,ww,0.090803,0.1269505,-26.604375
36,44,Aurora,ww,0.063912333,0.07436225,-27.919375
37,45,Aurora,drought,0.059792333,0.03799025,-27.029375
38,46,Capri,drought,0.052508,0.030629,-24.503375
39,47,Capri,ww,0.067305667,0.21459275,-30.257375
40,48,Lynx,drought,0.057483333,0.0661015,-27.531375
41,5,ILB938,ww,0.071658,0.06405875,-26.919375
42,6,ILB938,drought,0.058967333,0.06062925,-25.799375
43,7,Navara,ww,0.090380667,0.1966875,-30.223375
44,8,Aurora,ww,0.075305333,0.21430025,-30.230375
45,9,ILB938,drought,0.088377333,0.0307625,-24.189375
